rank,Consignee Name,City,State,Ultimate Parent,Domain,Apollo-ready,Shipments,TEU,VALUE(usd)
151,Scs Direct Inc.,Milford,Connecticut,Scs Direct Inc.,scsdirectinc.com,Y,385,489.0,10259506.38
152,Noritz America,Fountain Valley,California,Noritz Corporation,noritzglobal.com,Y,102,488.0,34387157.77
153,Jeffrey Court Inc.,Norco,California,"Jeffrey Court, Inc.",jeffreycourt.com,Y,592,487.8,9701521.85
154,Universal Electronics Inc.,Cypress,California,Universal Electronics Inc.,uei.com,Y,304,485.8,31513272.84
155,Bradshaw International Inc.,Rancho Cucamonga,California,"Bradshaw International, Inc.",bradshawhome.com,Y,205,483.3,8315485.18
156,Surya Carpet Inc.,White,Georgia,Surya Carpet Inc.,surya.com,Y,553,479.1,13651364.0
157,Joneca Corp.,Anaheim,California,Joneca Corporation,joneca.com,Y,276,478.7,21350812.75
158,Primo International,Mississauga,Ontario,"Primo Bedding Company, Inc.",primointernational.com,Y,251,474.4,5745931.89
159,Mercana Furniture & Decor Ltd.,Surrey,British Columbia,Mercana Furniture & Decor Ltd.,mercana.com,Y,266,459.9,3933951.14
160,Goodman Mfg. Co. L.P.,Houston,Texas,"Daikin Industries,Ltd.",daikin.com,Y,12,450.7,17127539.58
161,Leoben Co.,,,Leoben Company,leobenco.com,Y,129,446.5,10955258.09
162,Liberty Hardware,Winston-Salem,North Carolina,Masco Corporation,masco.com,Y,120,446.2,11738811.57
163,Home Trends & Design,Austin,Texas,"Home Trends And Design, Ltd",htddirect.com,Y,259,442.8,6092051.09
164,Carlisle Foodservice Products,Oklahoma City,Oklahoma,"Cfs Brands, Llc",cfsbrands.com,Y,91,439.0,4028453.04
165,Theodore Alexander Usa Inc.,High Point,North Carolina,"Creative Home Furniture Co., Ltd.",oxfordcreations.com,Y,217,433.0,3334161.42
166,Loud Audio Llc,Fife,Washington,Rode Microphones Aust. Pty,rode.com,Y,242,432.5,21528060.85
167,One Diamond Electronics Inc.,Los Angeles,California,"One Diamond Electronics, Inc.",diamond-electronics.com,Y,48,431.0,14723752.06
168,Infinite Creative Enterprises Inc.,Seabrook,New Hampshire,"Infinite Creative Enterprises, Inc.",icesigns.com,Y,118,429.1,12317288.41
169,Enesco Llc,Itasca,Illinois,"Ad Populum, Llc",,N,162,413.3,6323596.5
170,Traeger Pellet Grills Llc,Salt Lake City,Utah,"Traeger, Inc.",traegergrills.com,Y,80,402.2,7854927.75
171,Town & Country Holdings Inc. D B A,,,"Town & Country Holdings, Inc.",,N,211,397.0,10800584.44
172,Ispring Water Systems Llc,Alpharetta,Georgia,"I Spring Water Systems, Llc",123filter.com,Y,195,396.0,17702708.14
173,Multy Home Lp,Vaughan,Ontario,Multy Home Lp,multyhome.com,Y,119,389.8,11230238.58
174,Home Legend,Fontana,California,"Home Legend, Llc",homelegend.com,Y,104,385.0,89579151.24
175,Wilton Industries,Woodridge,Illinois,Dr. August Oetker Kg,oetker-gruppe.com,Y,144,382.0,7270237.21
176,Brentwood Home Llc,Fullerton,California,"Brentwood Home, Llc",,N,197,380.0,7764575.12
177,Paddywax,Nashville,Tennessee,"Paddywax, Inc.",paddywax.com,Y,72,379.5,9358906.0
178,Snap On Equipment,Conway,Arkansas,Snap On Incorporated,snapon.com,Y,196,379.0,27956057.64
179,Esi Cases Accessories,Newark,New Jersey,"Esi Cases & Accessories, Inc.",esicellular.net,Y,209,377.0,27009008.34
180,Blu Dot Design,Minneapolis,Minnesota,"Blu Dot Design And Manufacturing, Inc.",bludot.com,Y,191,376.1,5587771.82
181,Southern Motion,,,Southern Motion Inc.,southernmotion.com,Y,346,375.9,14936070.05
182,Stellar Innovations Group Inc.,,,"Stellar Innovations, Inc.",stellarhomes.us,Y,188,375.0,27527106.83
183,Tablecraft Products Co.,Gurnee,Illinois,"Tablecraft Products Company, Inc.",tablecraft.com,Y,280,368.5,8061917.02
184,Beaulieu Canada,Acton Vale,Québec,Beaulieu International Group N.V.,bintg.com,Y,163,365.0,39237515.28
185,Zak Designs,,,"Zak Designs, Inc.",zak.com,Y,183,363.1,5819154.69
186,Visuar Sa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Visuar S.A.,visuar.com.ar,Y,52,358.0,7931373.34
187,Stiebel Eltron,Hatfield,Massachusetts,Stiebel Eltron Gmb H & Co. Kg,stiebel-eltron.de,Y,68,358.0,24065616.8
188,Seminole Consulting And Marketing,Bentonville,Arkansas,"Seminole Consulting And Marketing, Inc.",scmdesigns.com,Y,66,357.2,7212098.16
189,Tyco Fire Protection Products,Marinette,Wisconsin,Johnson Controls International Plc,johnsoncontrols.com,Y,261,356.4,23122144.99
190,Gourmet Home Products Llc,New York,New York,Gourmet Home Products Llc,gourmethomeproducts.com,Y,98,350.5,6297080.34
191,Courtesy Products Llc,St. Louis,Missouri,"H.I.G. Capital Partners, Lp",,N,65,350.0,3841490.18
192,Cleva North America,Greenville,South Carolina,"Cleva North America, Inc",cleva-na.com,Y,176,349.8,9579157.84
193,Butler Specialty Co.,Chicago,Illinois,Butler Specialty Company,butlerspecialty.net,Y,239,347.2,3187904.31
194,Avanti Products,Miami,Florida,The Legacy Companies,thelegacycompanies.com,Y,128,347.0,4508383.22
195,Tropitone Furniture Co. Inc.,Irvine,California,Brown Jordan Inc.,brownjordaninc.com,Y,161,333.3,3107904.57
196,Melnor Inc.,,,"Melnor, Inc.",melnor.com,Y,72,332.4,13332421.67
197,L & J.G. Stickley,Manlius,New York,"L. & J. G. Stickley, Inc.",stickley.com,Y,114,331.6,3758825.73
198,Jonathan Adler,New York,New York,Jonathan Adler Enterprises Llc,jonathanadler.com,Y,211,331.2,2876704.53
199,Parachute Home Inc.,Culver City,California,Parachute Home Inc.,parachutehome.com,Y,139,331.1,13902685.99
200,Eastern Site Contractors Inc.,,,"Eastern Site Contractors, Inc.",,N,35,330.5,20634123.71
201,G&T Industries,Byron Center,Michigan,"G&T Industries, Inc.",gtindustries.com,Y,176,329.2,9460399.32
202,Ginsey Industries. Inc.Ginsey Industries,Logan Township,New Jersey,"Ginsey Industries, Inc.",ginsey.com,Y,98,329.0,5249027.64
203,Woodard Cm Llc,Owosso,Michigan,"Litex Industries, Limited",litexindustries.com,Y,150,323.5,2455876.4
204,Blue Ridge Home Fashions Inc.,Baldwin Park,California,"Blue Ridge Home Fashions, Inc.",blueridgehome.com,Y,96,323.2,6888950.93
205,Mygift Enterprise Llc,Woodinville,Washington,My Gift Enterprise Llc,mygift.com,Y,180,323.2,4615987.16
206,Pacific Motion Nw,Canby,Oregon,"Pacific Motion, L.L.C.",,N,61,322.0,5252136.57
207,Crown Awards,,,"Crown Awards, Inc.",crownawards.com,Y,182,319.9,8565377.5
208,Flextronics Technologies San L,San Agustín,Jalisco,Flex Ltd.,flex.com,Y,636,317.5,23187637.61
209,Purple Innovation,Alpine,Utah,"Purple Innovation, Inc.",purple.com,Y,166,316.2,4667816.98
210,Healthcare Arizona Llc,,,"Healthcare Co.,Ltd.",hkfoam.com,Y,172,315.3,8766903.12
211,Meyer Sound Laboratories Inc.,Berkeley,California,"Meyer Sound Laboratories, Incorporated",meyersound.com,Y,223,311.3,8037290.2
212,Pacific Blue Corp.,Capitol Heights,Maryland,"Pacific Blue Construction, Llc",pacificblueconstruction.com,Y,47,307.8,3848586.78
213,Leoni Cable Inc.,Rochester,Michigan,L2 Beteiligungs Gmb H,,N,181,306.9,19766544.74
214,Bassett Mirror Co. Inc.,Henry,Virginia,"Bassett Mirror Company, Inc.",bassettmirror.com,Y,146,306.5,3926016.21
215,"Primitives By Kathy, Inc.",Lancaster,Pennsylvania,"Primitives By Kathy, Inc.",primitivesbykathy.com,Y,342,305.2,8874503.4
216,Business & Pleasure Co. Llc,Compton,California,"Business & Pleasure Co., Llc",businessandpleasureco.com,Y,108,304.6,3356977.78
217,Makita Corporation Of America,Buford,Georgia,Makita Corporation,makita.co.jp,Y,240,304.1,18421866.6
218,Ikano Industries Mexico S.A. De C.V.,Saltillo,Coahuila de Zaragoza,Ikano S.A.,group.ikano,Y,84,302.0,23441189.7
219,Mr. Bar B Q Products,Rural Hall,North Carolina,Mr. Bar B Q Products Llc,mrbarbq.com,Y,150,302.0,8103582.82
220,Couristan Inc.,Fort Lee,New Jersey,"Couristan, Inc.",couristan.com,Y,243,295.2,11458467.47
221,Conair Consumer Products Ulc,,,Conair Llc,conair.com,Y,220,292.5,7332292.06
222,Precision Trading Corp.,Pella,Iowa,Precision Trading Corp.,precisiontrading.com,Y,59,290.0,6644813.9
223,Le Chandelle Inc.,Diamond Bar,California,"Le Chandelle, Inc.",lechandellecandles.com,Y,48,290.0,7850934.0
224,Dyson Inc.,Chicago,Illinois,Weybourne Holdings Pte. Ltd.,,N,167,289.3,12529694.38
225,Gare Inc.,Haverhill,Massachusetts,Gare Incorporated,gareceramics.com,Y,139,286.0,5109903.77
226,Electrolux Home Products,Fletcher,North Carolina,Ab Electrolux (Publ),electroluxgroup.com,Y,171,281.3,5400055.0
227,Enriquez Materials & Quilting Inc.,Commerce,California,"Enriquez Materials & Quilting, Inc.",enriquezquilting.com,Y,132,274.9,5974361.13
228,Forever Gifts Inc.,,,"Forever Gifts, Inc.",forevergiftsinc.com,Y,133,273.3,4436842.03
229,Great States Corp.,Indianapolis,Indiana,Great States Corporation,,N,105,272.9,8702961.94
230,Ocv Mexico S De Rl De Cv,Tetla,Tlaxcala,Owens Corning,owenscorning.com,Y,24,270.3,3861416.08
231,Bernina Of America,Aurora,Illinois,Bernina International Ag,bernina.com,Y,120,268.6,25139108.42
232,Viscosoft Inc.,,,Visco Soft Inc,viscosoft.com,Y,123,268.0,4145478.74
233,Q And V Power Inc.,Houston,Texas,"Q Power, Inc.",qpowerinc.com,Y,105,266.1,15348223.03
234,Revival Rugs Inc.,Oakland,California,Revival Rugs Inc,revivalrugs.com,Y,139,265.6,10616976.81
235,Punch Studio,Culver City,California,Punch Studio Llc,punchstudio.com,Y,76,265.2,14293795.19
236,Zylux America Inc.,Washington,Pennsylvania,"Zylux America, Inc.",zyluxacoustic.com,Y,122,261.7,15994967.86
237,Phase Ii Products Inc.,San Diego,California,"Phase Ii Products, Inc.",phaseii.com,Y,130,259.6,4923836.44
238,Jl Audio Inc.,Miramar,Florida,Garmin Ltd.,garmin.com,Y,194,255.6,12147031.33
239,American Metalcraft Inc.,Melrose Park,Illinois,"American Metalcraft, Inc.",amnow.com,Y,249,249.3,4999919.09
240,Sweet Home Kitchen & Bath Inc.,,,Sweet Home Kitchen & Bath Inc.,procraftcabinetry.com,Y,62,248.0,9691532.42
241,Teka Mexicana Sa De Cv,Mexico City,Federal District,"Teka Mexicana, S.A. De C.V.",teka.com.mx,Y,69,247.5,8685861.2
242,Agp Eglass Co.,,,Agp E Glass Co.,,N,127,246.7,4191743.36
243,Door Kraft Products Inc.,,,Door Kraft Products Inc,doorkraft.com,Y,90,246.0,6368400.48
244,Fairfield Chair Co.,Lenoir,North Carolina,Fairfield Chair Company,fairfieldchair.com,Y,112,245.9,2933366.39
245,Global Furniture,Edison,New Jersey,Global Furniture Inc,,N,38,243.5,1493569.0
